Brands,Familys,Years,Models,TechInfos,Equipments
Ford,Escort Sw,1998,Escort S.W GL 1.8i 16V,"Ano:1998;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Geração:3;Lugares:5;Plataforma:CE14;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Série:MK6;Aceleração 0-100 km/h:11,2 s;Velocidade máxima:190 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1796 cm³;Cilindros:4 em linha;Código do motor:Zetec;Comando de válvulas:Duplo no cabeçote;Curso do pistão:88 mm;Diâmetro do cilindro:80,6 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,5 kg/cv;Peso/torque:74,4 kg/kgfm;Potência:115 cv;Potência específica:64,0 cv/litro;Razão de compressão:9,8:1;Rotação potência máx.:5750 rpm;Rotação torque máx.:4500 rpm;Torque:16,3 kgfm;Torque específico:9,1 kgfm/litro;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Dianteira;Altura:1410 mm;Comprimento:4300 mm;Distância entre-eixos:2520 mm;Largura:1700 mm;Peso:1212 kg;Porta-malas:460 litros;Tanque de combustível:64 litros;Altura do flanco:120 mm;Dianteiros:185/65 R14;Estepe:185/65 R14;Traseiros:185/65 R14;Assistência:Hidráulica;Diâmetro de giro:10,5 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):704 km;Urbana (G):467 km;Rodoviário (G):11 km/l;Urbano (G):7,3 km/l",
Fiat,Coupe,1996,Coupe 16V,"FIPE 06/23:R$ 40.033,00;Ano:1996;Combustível:Gasolina;Configuração:Cupê;Garantia:1 ano;Lugares:4;Portas:2;Porte:Médio;Procedência:Importado;Aceleração 0-100 km/h:9,3 s;Velocidade máxima:206 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1995 cm³;Cilindros:4 em linha;Comando de válvulas:Duplo no cabeçote;Curso do pistão:90 mm;Diâmetro do cilindro:84 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,3 kg/cv;Peso/torque:69,1 kg/kgfm;Potência específica:68,7 cv/litro;Potência máxima:137 cv;Razão de compressão:9,5:1;Rotação potência máx.:6000 rpm;Rotação torque máx.:4500 rpm;Torque específico:9,2 kgfm/litro;Torque máximo:18,4 kgfm;Válvulas por cilindro:4;Altura:1340 mm;Bitola dianteira:1483 mm;Bitola traseira:1477 mm;Carga útil:370 kg;Comprimento:4250 mm;Distância entre-eixos:2540 mm;Largura:1768 mm;Peso:1271 kg;Porta-malas:304 litros;Tanque de combustível:60 litros;Altura do flanco:113 mm;Dianteiros:205/55 R15;Traseiros:205/55 R15;Área frontal (A):2,01 m²;Área frontal corrigida:0,623 m²;Coef. de arrasto (Cx):0,31;Coeficiente de arrasto (Cx):0,31;Assistência:Hidráulica;Diâmetro de giro:10,3 m;Diâmetro mínimo de giro:10,3 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., braço semi-arrastado;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):744 km;Urbana (G):522 km;Rodoviário (G):12,4 km/l;Urbano (G):8,7 km/l",
Ford,Ka Sedan,2018,Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p,"FIPE 06/23:R$ 50.550,00;Ano:2018;Combustível:Flex;Configuração:Sedã;Garantia:3 anos;Geração:3;Lugares:5;Plataforma:B-Car;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:10,5 s;Velocidade máxima:181 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:IB5;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1499 cm³;Cilindros:4 em linha;Código do motor:Sigma;Comando de válvulas:Duplo no cabeçote, correia dentada;Curso do pistão:76,4 mm;Diâmetro do cilindro:79 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,4 kg/cv;Peso/torque:69,3 kg/kgfm;Potência específica:73,4 cv/litro;Potência máxima:110 cv (A) 105 cv (G) a 5500 rpm;Razão de compressão:11:1;Torque específico:9,9 kgfm/litro;Torque máximo:14,9 kgfm (A) 14,6 kgfm (G) a 4250 rpm;Válvulas por cilindro:4;Altura:1525 mm;Carga útil:428 kg;Comprimento:4254 mm;Distância entre-eixos:2491 mm;Largura:1695 mm;Peso:1032 kg;Porta-malas:445 litros;Tanque de combustível:52 litros;Vão livre do solo:169 mm;Altura do flanco:114 mm;Dianteiros:175/65 R14;Estepe:175/65 R14;Traseiros:175/65 R14;Área frontal (A):2,2 m²;Área frontal corrigida:0,704 m²;Coeficiente de arrasto (Cx):0,32;Assistência:Elétrica;Diâmetro mínimo de giro:9,6 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):494 km;Rodoviária (G):707 km;Urbana (A):411 km;Urbana (G):598 km;Rodoviário (A):9,5 km/l;Rodoviário (G):13,6 km/l;Urbano (A):7,9 km/l;Urbano (G):11,5 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Luz no porta-malas;Zonas de ar-condicionado: 1;CD player;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Volante multifuncional;Airbags frontais;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Travamento central das portas
BMW,320i,2020,320iA Modern/Sport TB 2.0/A.Flex/GP 4p,"Ano:2020;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:7;Lugares:5;Plataforma:CLAR;Portas:4;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Série:G20;Aceleração 0-100 km/h:7,1 s;Velocidade máxima:240 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:1998 cm³;Cilindros:4 em linha;Código do motor:B48B20;Comando de válvulas:Duplo no cabeçote;Curso do pistão:94,6 mm;Diâmetro do cilindro:82 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:7,9 kg/cv;Peso/torque:47,7 kg/kgfm;Potência específica:92,1 cv/litro;Potência máxima:184 cv;Razão de compressão:11:1;Regime potência máx.:5000 rpm;Regime torque máx.:1350 rpm;Rotação máxima:6800 rpm;Torque específico:15,3 kgfm/litro;Torque máximo:30,6 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:ZF 8HP;Marchas:8;Tração:Traseira;Altura:1435 mm;Bitola dianteira:1589 mm;Bitola traseira:1604 mm;Carga útil:590 kg;Comprimento:4709 mm;Distância entre-eixos:2851 mm;Largura:1827 mm;Peso:1460 kg;Porta-malas:365 litros;Reboque com freio:1600 kg;Reboque sem freio:750 kg;Tanque de combustível:59 litros;Vão livre do solo:136 mm;Altura do flanco:101 mm;Dianteiros:225/45 R18;Estepe:135/80 R17;Traseiros:225/45 R18;Área frontal (A):2,22 m²;Área frontal corrigida:0,533 m²;Coef. de arrasto (Cx):0,24;Assistência:Eletro-hidráulica;Diâmetro de giro:11,4 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):738 km;Urbana (G):655 km;Rodoviário (G):12,5 km/l;Urbano (G):11,1 km/l",Ajuste de apoio lombar para o motorista;Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Assist. de estacionamento semiautom.;Assistente de estacionamento semiautomático;Auto Hold;Banco do motorista com ajuste de altura;Banco do motorista com ajuste elétrico;Banco do motorista com memórias;Banco do motorista com memórias de ajuste;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Capô sustentado por mola a gás;Comando interno da tampa do tanque;Comando interno do bocal de abastec.;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Destravamento remoto do porta-malas;Direção assistida;Faróis com acendimento automático;Freio de estacionamento elétrico;Limitador de velocidade;Limpador de para-brisa automático;Luz no porta-luvas;Luz no porta-malas;Recuperação de energia cinética;Retrovisor interno fotocrômico;Retrovisores rebativeis eletricamente;Rodas de liga leve;Saída de ar para o banco traseiro;Sistema start-stop;Troca de marchas no volante;Zonas de ar-condicionado: 3;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Serviço de concierge;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Assistência na recuperação veicular;Assistente de partida em rampa;Câmera traseira para manobras;Chamada de assistência de emergência;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de LED;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Luz traseira de neblina;Luzes de condução diurna;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Toyota,Etios,2015,ETIOS PLATINUM 1.5 Flex 16V 5p Mec.,"FIPE 06/23:R$ 46.322,00;Ano:2015;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Lugares:5;Plataforma:EFC;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:11,1 s;Velocidade máxima:173 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1496 cm³;Cilindros:4 em linha;Código do motor:2NR-FBE;Comando de válvulas:Duplo no cabeçote, corrente;Curso do pistão:90,6 mm;Diâmetro do cilindro:72,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,0 kg/cv;Peso/torque:69,4 kg/kgfm;Potência específica:64,5 cv/litro;Potência máxima:96,5 cv (A) 92 cv (G) a 5600 rpm;Razão de compressão:12,1:1;Rotação máxima:6000 rpm;Torque específico:9,3 kgfm/litro;Torque máximo:13,9 kgfm (A) 13,9 kgfm (G) a 3100 rpm;Tuchos:Mecânicos;Válvulas por cilindro:4;Altura:1510 mm;Comprimento:3884 mm;Distância entre-eixos:2460 mm;Largura:1695 mm;Peso:965 kg;Porta-malas:270 litros;Tanque de combustível:45 litros;Vão livre do solo:150 mm;Altura do flanco:111 mm;Dianteiros:185/60 R15;Estepe:175/65 R14;Traseiros:185/60 R15;Área frontal (A):2,18 m²;Área frontal corrigida:0,719 m²;Coeficiente de arrasto (Cx):0,33;Assistência:Elétrica;Diâmetro mínimo de giro:9,6 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):401 km;Rodoviária (G):603 km;Urbana (A):383 km;Urbana (G):558 km;Rodoviário (A):8,9 km/l;Rodoviário (G):13,4 km/l;Urbano (A):8,5 km/l;Urbano (G):12,4 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Bancos revestidos em couro;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Conexão Bluetooth;Conexão USB;Conta-giros;Navegador GPS;Rádio;TV digital;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Câmera traseira para manobras;Desembaçador do vidro traseiro;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Ford,Fiesta,2006,Fiesta Personnalité 1.0 8V 66cv 5p,"Ano:2006;Combustível:Gasolina;Configuração:Hatch;Garantia:1 ano;Geração:5;Lugares:5;Plataforma:Ford B3;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Série:BE256;Aceleração 0-100 km/h:18,2 s;Velocidade máxima:150 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:999 cm³;Cilindros:4 em linha;Código do motor:Zetec Rocam;Comando de válvulas:Único no cabeçote;Curso do pistão:67,4 mm;Diâmetro do cilindro:68,68 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:15,6 kg/cv;Peso/torque:117,3 kg/kgfm;Potência específica:66,1 cv/litro;Potência máxima:66 cv;Razão de compressão:9,8:1;Regime potência máx.:5750 rpm;Regime torque máx.:2750 rpm;Torque específico:8,8 kgfm/litro;Torque máximo:8,8 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:IB5;Marchas:5;Tração:Dianteira;Altura:1451 mm;Bitola dianteira:1489 mm;Bitola traseira:1452 mm;Comprimento:3908 mm;Distância entre-eixos:2488 mm;Largura:1675 mm;Peso:1032 kg;Porta-malas:305 litros;Tanque de combustível:45 litros;Altura do flanco:114 mm;Dianteiros:175/65 R14;Traseiros:175/65 R14;Assistência:Não assistida;Diâmetro de giro:Não informado;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (G):585 km;Urbana (G):405 km;Rodoviário (G):13 km/l;Urbano (G):9 km/l",
Fiat,Elba,1991,Elba CS 1.6 / 1.5 /1.3,"FIPE 06/23:R$ 5.787,00;Ano:1991;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Lugares:5;Portas:2;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:14,4 s;Velocidade máxima:160 km/h;Acionam. do comando:Correia dentada;Alimentação:Carburador;Aspiração:Natural;Cilindrada:1580 cm³;Cilindros:4 em linha;Código do motor:Sevel;Comando de válvulas:Único no cabeçote;Curso do pistão:67,4 mm;Diâmetro do cilindro:86,4 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:11,8 kg/cv;Peso/torque:75,0 kg/kgfm;Potência específica:53,2 cv/litro;Potência máxima:84 cv;Razão de compressão:8,3:1;Regime potência máx.:5700 rpm;Regime torque máx.:3200 rpm;Torque específico:8,4 kgfm/litro;Torque máximo:13,2 kgfm;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C506;Marchas:5;Tração:Dianteira;Altura:1450 mm;Bitola dianteira:1321 mm;Bitola traseira:1340 mm;Carga útil:430 kg;Comprimento:4037 mm;Distância entre-eixos:2362 mm;Largura:1548 mm;Peso:990 kg;Porta-malas:610 litros;Tanque de combustível:50 litros;Vão livre do solo:139 mm;Altura do flanco:116 mm;Dianteiros:165/70 R13;Estepe:165/70 R13;Traseiros:165/70 R13;Área frontal (A):1,91 m²;Área frontal corrigida:0,649 m²;Coef. de arrasto (Cx):0,34;Assistência:Não assistida;Diâmetro de giro:10,4 m;Dianteira:Indep., McPherson;Elemento elástico:Feixe de molas semielípticas;Traseira:Indep., McPherson;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (G):700 km;Urbana (G):485 km;Rodoviário (G):14 km/l;Urbano (G):9,7 km/l",
Fiat,Palio Weekend 1.6 mpi 16V 4p,"FIPE 06/23:R$ 9.110,00;Ano:1999;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Lugares:5;Portas:4;Porte:Compacto;Procedência:Nacional;Aceleração 0-100 km/h:11,9 s;Velocidade máxima:185 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1580 cm³;Cilindros:4 em linha;Código do motor:Torque;Comando de válvulas:Duplo no cabeçote, correia dentada;Curso dos pistões:67,4 mm;Diâmetro dos cilindros:86,4 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,9 kg/cv;Peso/torque:76,4 kg/kgfm;Potência específica:67,1 cv/litro;Potência máxima:106 cv a 5500 rpm;Razão de compressão:9,3:1;Torque específico:9,6 kgfm/litro;Torque máximo:15,1 kgfm a 4500 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Altura:1475 mm;Comprimento:4130 mm;Distância entre-eixos:2423 mm;Largura:1614 mm;Peso:1153 kg;Porta-malas:460 litros;Tanque de combustível:51 litros;Altura do flanco:114 mm;Dianteiros:175/65 R14;Estepe:175/65 R14;Traseiros:175/65 R14;Assistência:Hidráulica;Diâmetro mínimo de giro:10,5 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, braço arrastado;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):699 km;Urbana (G):500 km;Rodoviário (G):13,7 km/l;Urbano (G):9,8 km/l",
Fiat,Doblo,2019,Doblo Adv/Adv TRYON/LOCKER 1.8 Flex	,"Ano:2019;Combustível:Flex;Configuração:Minivan;Garantia:1 ano;Lugares:6;Plataforma:178;Portas:4;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:12,3 s;Velocidade máxima:171 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C510;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1747 cm³;Cilindros:4 em linha;Código do motor:E.torQ;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:85,8 mm;Diâmetro do cilindro:80,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:11,1 kg/cv;Peso/torque:77,4 kg/kgfm;Potência específica:75,6 cv/litro;Potência máxima:132 cv (A) 130 cv (G) a 5250 rpm;Razão de compressão:11,2:1;Torque específico:10,8 kgfm/litro;Torque máximo:18,9 kgfm (A) 18,4 kgfm (G) a 4500 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Altura:1957 mm;Bitola dianteira:1523 mm;Bitola traseira:1520 mm;Carga útil:490 kg;Comprimento:4478 mm;Distância entre-eixos:2583 mm;Largura:1768 mm;Peso:1463 kg;Porta-malas:665 litros;Tanque de combustível:60 litros;Vão livre do solo:223 mm;Altura do flanco:144 mm;Dianteiros:205/70 R15;Traseiros:205/70 R15;Assistência:Hidráulica;Diâmetro mínimo de giro:11,2 m;Dianteira:Independente, McPherson;Elemento elástico:Mola parabólica de lâmina única;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):402 km;Rodoviária (G):588 km;Urbana (A):384 km;Urbana (G):552 km;Rodoviário (A):6,7 km/l;Rodoviário (G):9,8 km/l;Urbano (A):6,4 km/l;Urbano (G):9,2 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco traseiro bipartido;Controle elétrico dos vidros dianteiros;Direção assistida;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Travamento central das portas
Fiat,Argo,2020,ARGO DRIVE 1.3 8V Flex,"Ano:2020;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Lugares:5;Plataforma:MP1;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:10,8 s;Velocidade máxima:184 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1332 cm³;Cilindros:4 em linha;Código do motor:Firefly;Comando de válvulas:Único no cabeçote;Curso do pistão:86,5 mm;Diâmetro do cilindro:70 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,5 kg/cv;Peso/torque:80,3 kg/kgfm;Potência específica:81,8 cv/litro;Potência máxima (A):109 cv;Potência máxima (G):101 cv;Razão de compressão:13,2:1;Regime potência máx.:6250 rpm;Regime torque máx.:3500 rpm;Rotação máxima:6500 rpm;Torque específico:10,7 kgfm/litro;Torque máximo (A):14,2 kgfm;Torque máximo (G):13,7 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:2;Variação do comando:Admissão e escape;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C513;Marchas:5;Tração:Dianteira;Altura:1501 mm;Bitola dianteira:1465 mm;Bitola traseira:1500 mm;Carga útil:400 kg;Comprimento:3998 mm;Distância entre-eixos:2521 mm;Largura:1724 mm;Peso:1140 kg;Porta-malas:300 litros;Reboque sem freio:400 kg;Tanque de combustível:48 litros;Vão livre do solo:149 mm;Altura do flanco:111 mm;Dianteiros:185/60 R15;Estepe:175/65 R14;Traseiros:185/60 R15;Área frontal (A):2,2 m²;Área frontal corrigida:0,748 m²;Coef. de arrasto (Cx):0,34;Assistência:Elétrica;Diâmetro de giro:10,4 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (A):499 km;Rodoviária (G):706 km;Urbana (A):427 km;Urbana (G):600 km;Rodoviário (A):10,4 km/l;Rodoviário (G):14,7 km/l;Urbano (A):8,9 km/l;Urbano (G):12,5 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Alças de segurança no teto;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno da tampa do tanque;Comando interno do bocal de abastec.;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Destravamento remoto do porta-malas;Direção assistida;Luz no porta-luvas;Luz no porta-malas;Rodas de liga leve;Sistema start-stop;Zonas de ar-condicionado: 1;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Espelhamento da tela do celular;Indicador de temperatura externa;Rádio;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Assistente de partida em rampa;Câmera traseira para manobras;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Limpador e lavador do vidro traseiro;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento traseiro;Travamento central das portas
Audi,A4 Avant,2000,A4 2.8 Avant V6 30V Tiptronic,"FIPE 06/23:R$ 27.734,00;Ano:2000;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Geração:1;Lugares:5;Plataforma:PL45;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Série:B5;Aceleração 0-100 km/h:9 s;Velocidade máxima:231 km/h;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:ZF 5HP;Marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:2771 cm³;Cilindros:6 em V;Comando de válvulas:Duplo no cabeçote;Curso do pistão:86,4 mm;Diâmetro do cilindro:82,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:7,3 kg/cv;Peso/torque:49,6 kg/kgfm;Potência específica:69,6 cv/litro;Potência máxima:193 cv;Razão de compressão:10,6:1;Regime potência máx.:6000 rpm;Regime torque máx.:3200 rpm;Torque específico:10,3 kgfm/litro;Torque máximo:28,5 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:5;Altura:1417 mm;Bitola dianteira:1498 mm;Bitola traseira:1479 mm;Carga útil:550 kg;Comprimento:4479 mm;Distância entre-eixos:2622 mm;Largura:1733 mm;Peso:1415 kg;Porta-malas:390 litros;Tanque de combustível:62 litros;Altura do flanco:113 mm;Dianteiros:205/55 R16;Traseiros:205/55 R16;Área frontal (A):2,09 m²;Área frontal corrigida:0,669 m²;Coef. de arrasto (Cx):0,32;Assistência:Hidráulica;Diâmetro de giro:11,1 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):651 km;Urbana (G):409 km;Rodoviário (G):10,5 km/l;Urbano (G):6,6 km/l",
Ford,Escort Sw,2000,Escort S.W GL 1.8i 16V,"Ano:2000;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Geração:3;Lugares:5;Plataforma:CE14;Portas:4;Porte:Médio;Procedência:Importado;Propulsão:Combustão;Série:MK6;Aceleração 0-100 km/h:11,2 s;Velocidade máxima:190 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1796 cm³;Cilindros:4 em linha;Código do motor:Zetec;Comando de válvulas:Duplo no cabeçote;Curso do pistão:88 mm;Diâmetro do cilindro:80,6 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,5 kg/cv;Peso/torque:74,4 kg/kgfm;Potência específica:64,0 cv/litro;Potência máxima:115 cv;Razão de compressão:9,8:1;Regime potência máx.:5750 rpm;Regime torque máx.:4500 rpm;Torque específico:9,1 kgfm/litro;Torque máximo:16,3 kgfm;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Dianteira;Altura:1410 mm;Comprimento:4300 mm;Distância entre-eixos:2520 mm;Largura:1700 mm;Peso:1212 kg;Porta-malas:460 litros;Tanque de combustível:64 litros;Altura do flanco:120 mm;Dianteiros:185/65 R14;Estepe:185/65 R14;Traseiros:185/65 R14;Assistência:Hidráulica;Diâmetro de giro:10,5 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):704 km;Urbana (G):467 km;Rodoviário (G):11 km/l;Urbano (G):7,3 km/l",
